path	deprecated	experimental	chrome	chrome_android
css.properties.unicode-bidi.plaintext	false	false	48	48
css.properties.user-modify	true	false	1	18
css.properties.user-modify.read-write-plaintext-only	true	false	1	18
css.properties.user-select	false	false	54	54
css.properties.user-select.all	false	false	53	53
css.properties.user-select.auto	false	false	1	18
css.properties.user-select.contain	false	false	false	false
css.properties.user-select.none	false	false	1	18
css.properties.user-select.text	false	false	1	18
css.properties.vertical-align	false	false	1	18
css.properties.view-timeline	false	true	115	115
css.properties.view-timeline-axis	false	true	115	115
css.properties.view-timeline-inset	false	true	115	115
css.properties.view-timeline-name	false	true	115	115
css.properties.view-transition-name	false	true	111	111
css.properties.visibility	false	false	1	18
css.properties.visibility.collapse	false	false	1	18
css.properties.white-space	false	false	1	18
css.properties.white-space.break-spaces	false	false	76	76
css.properties.white-space.nowrap	false	false	1	18
css.properties.white-space.pre	false	false	1	18
css.properties.white-space.pre-line	false	false	1	18
css.properties.white-space.pre-wrap	false	false	1	18
css.properties.white-space.shorthand_values	false	true	114	114
css.properties.white-space.svg_support	false	false	false	false
css.properties.white-space.textarea_support	false	false	1	18
css.properties.white-space-collapse	false	true	114	114
css.properties.widows	false	false	25	25
css.properties.width	false	false	1	18
css.properties.width.animatable	false	false	26	26
css.properties.width.fit-content	false	false	46	46
css.properties.width.fit-content_function	false	true	false	false
css.properties.width.max-content	false	false	46	46
css.properties.width.min-content	false	false	46	46
css.properties.width.stretch	false	true	22	25
css.properties.will-change	false	false	36	36
css.properties.word-break	false	false	1	18
css.properties.word-break.break-word	true	false	1	18
css.properties.word-break.keep-all	false	false	44	44
css.properties.word-spacing	false	false	1	18
css.properties.word-spacing.percentages	true	false	false	false
css.properties.word-spacing.svg	false	false	1	18
css.properties.writing-mode	false	false	48	48
css.properties.writing-mode.horizontal_vertical_values	false	false	48	48
css.properties.writing-mode.sideways_values	false	false	false	false
css.properties.writing-mode.svg_values	true	false	48	48
css.properties.z-index	false	false	1	18
css.properties.z-index.negative_values	false	false	1	18
css.properties.zoom	false	false	1	18
css.properties.zoom.reset	false	false	removed	removed
css.selectors.-moz-broken	false	false	false	false
css.selectors.-moz-color-swatch	false	false	false	false
css.selectors.-moz-only-whitespace	false	false	false	false
css.selectors.-moz-page	false	false	false	false
css.selectors.-moz-page-sequence	false	false	false	false
css.selectors.-moz-range-progress	false	false	false	false
css.selectors.-moz-range-thumb	false	false	false	false
css.selectors.-moz-range-track	false	false	false	false
css.selectors.-moz-scrolled-page-sequence	false	false	false	false
css.selectors.-moz-submit-invalid	false	false	false	false
css.selectors.-moz-window-inactive	false	false	false	false
css.selectors.-webkit-details-marker	false	false	removed	removed
css.selectors.-webkit-inner-spin-button	false	false	6	18
css.selectors.-webkit-meter-bar	false	false	12	18
css.selectors.-webkit-meter-even-less-good-value	false	false	12	18
css.selectors.-webkit-meter-inner-element	false	false	23	25
css.selectors.-webkit-meter-optimum-value	false	false	12	18
css.selectors.-webkit-meter-suboptimum-value	false	false	12	18
css.selectors.-webkit-outer-spin-button	false	false	removed	false
css.selectors.-webkit-progress-bar	false	false	25	25
css.selectors.-webkit-progress-inner-element	false	false	23	25
css.selectors.-webkit-progress-value	false	false	25	25
css.selectors.-webkit-resizer	false	false	2	18
css.selectors.-webkit-scrollbar	false	false	2	18
css.selectors.-webkit-scrollbar-button	false	false	2	18
css.selectors.-webkit-scrollbar-corner	false	false	2	18
css.selectors.-webkit-scrollbar-thumb	false	false	2	18
css.selectors.-webkit-scrollbar-track	false	false	2	18
css.selectors.-webkit-scrollbar-track-piece	false	false	2	18
css.selectors.-webkit-search-cancel-button	false	false	1	18
css.selectors.-webkit-search-results-button	false	false	1	18
css.selectors.active	false	false	1	18
css.selectors.active.non_a_elements	false	false	1	18
css.selectors.adjacent_sibling	false	false	1	18
css.selectors.after	false	false	1	18
css.selectors.after.animation_and_transition_support	false	false	26	26
css.selectors.any-link	false	false	65	65
css.selectors.any-link.not_match_link	false	false	65	65
css.selectors.attribute	false	false	1	18
css.selectors.attribute.case_insensitive_modifier	false	false	49	49
css.selectors.attribute.case_sensitive_modifier	false	false	false	false
css.selectors.autofill	false	false	1	18
css.selectors.backdrop	false	false	37	37
css.selectors.backdrop.dialog	false	false	32	32
css.selectors.backdrop.fullscreen	false	false	false	false
css.selectors.backdrop.popover	false	true	114	114
css.selectors.before	false	false	1	18
css.selectors.before.animation_and_transition_support	false	false	26	26
css.selectors.blank	false	true	false	false
css.selectors.buffering	false	false	false	false
css.selectors.checked	false	false	1	18
css.selectors.child	false	false	1	18
css.selectors.class	false	false	1	18
css.selectors.column	false	true	false	false
css.selectors.cue	false	false	26	26
css.selectors.cue.selector_argument	false	false	26	26
css.selectors.default	false	false	10	18
css.selectors.defined	false	false	54	54
css.selectors.descendant	false	false	1	18
css.selectors.descendant.two_greater_than_syntax	true	false	false	false
css.selectors.dir	false	false	false	false
css.selectors.disabled	false	false	1	18
css.selectors.empty	false	false	1	18
css.selectors.empty.matches_whitespace	false	false	false	false
css.selectors.enabled	false	false	1	18
css.selectors.file-selector-button	false	false	89	89
css.selectors.first	false	false	18	18
css.selectors.first-child	false	false	4	18
css.selectors.first-child.no_parent_required	false	false	57	57
css.selectors.first-letter	false	false	1	18
css.selectors.first-letter.dutch_ij_digraph	false	false	false	false
css.selectors.first-line	false	false	1	18
css.selectors.first-of-type	false	false	1	18
css.selectors.focus	false	false	1	18
css.selectors.focus-visible	false	false	86	86
css.selectors.focus-within	false	false	60	60
css.selectors.fullscreen	false	false	71	71
css.selectors.fullscreen.all_elements	false	false	false	false
css.selectors.future	false	true	false	false
css.selectors.general_sibling	false	false	1	18
css.selectors.grammar-error	false	true	false	false
css.selectors.has	false	false	105	105
css.selectors.highlight	false	true	105	105
css.selectors.host	false	false	54	54
css.selectors.host-context	false	false	54	54
css.selectors.hostfunction	false	false	54	54
css.selectors.hover	false	false	1	18
css.selectors.hover.a_elements	false	false	1	18
css.selectors.hover.all_elements	false	false	1	18
